,Address,City,ZIP,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
448,"3041 Owen Dr",ANTIOCH,37013.0,TN,36.018825,-86.622502,1,range_interpolation,3041,"Owen Dr",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
449,"7629 Old Harding Pike",NASHVILLE,37221.0,TN,36.058263,-86.94509,1,range_interpolation,7629,"Old Harding Pike",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
450,"301 Long Hollow Pike",GOODLETTSVILLE,37072.0,TN,36.325076,-86.701289,1,rooftop,301,"Long Hollow Pike",,,Goodlettsville,TN,"Davidson County",37072,US,"City of Nashville"
451,"226 5th Ave N",NASHVILLE,37219.0,TN,36.164002,-86.780529,1,rooftop,226,"5th Ave N",,,Nashville,TN,"Davidson County",37219,US,"City of Nashville"
452,"611 Cahal Ave",NASHVILLE,37206.0,TN,36.196284,-86.736809,0.6,street_center,,"Cahal Ave",,,Nashville,TN,"Davidson County",37206,US,"TIGER/Line® dataset from the US Census Bureau"
453,"1913 Division St",NASHVILLE,37203.0,TN,36.149569,-86.796895,1,rooftop,1913,"Division St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
454,"5651 Frist Blvd",HERMITAGE,37076.0,TN,36.176899,-86.608473,1,rooftop,5651,"Frist Blvd",,,Hermitage,TN,"Davidson County",37076,US,"City of Nashville"
455,"1913 Division St",NASHVILLE,37203.0,TN,36.149569,-86.796895,1,rooftop,1913,"Division St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
456,"99 Wallace Rd",NASHVILLE,37211.0,TN,36.084685,-86.701889,1,range_interpolation,99,"Wallace Rd",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
457,"33 Peabody St",NASHVILLE,37210.0,TN,36.157964,-86.76889,1,range_interpolation,33,"Peabody St",,,Nashville,TN,"Davidson County",37210,US,"TIGER/Line® dataset from the US Census Bureau"
458,"Cane Ridge Park",ANTIOCH,37013.0,TN,36.041883,-86.661546,0.8,street_center,,"Cane Ridge Rd",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
459,"6051 TN-100",NASHVILLE,37205.0,TN,36.097878,-86.872374,1,range_interpolation,6051,"Hwy 100",,,Nashville,TN,"Davidson County",37205,US,"TIGER/Line® dataset from the US Census Bureau"
460,"3248 Blackwood Dr",NASHVILLE,37214.0,TN,36.151961,-86.627324,1,rooftop,3248,"Blackwood Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
461,"7100 Commerce Way",,,TN,36.140057,-86.103323,0.27,place,,,,,Commerce,TN,"Wilson County",37184,US,"TIGER/Line® dataset from the US Census Bureau"
462,"2000 Glen Echo Rd",NASHVILLE,37215.0,TN,36.108464,-86.81075,1,range_interpolation,2000,"Glen Echo Rd",,,Nashville,TN,"Davidson County",37215,US,"TIGER/Line® dataset from the US Census Bureau"
463,"1530 Antioch Pike",ANTIOCH,37013.0,TN,36.078611,-86.683364,1,range_interpolation,1530,"Antioch Pike",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
464,"500 Hickory Hollow Terrace",ANTIOCH,37013.0,TN,36.05244,-86.648262,0.8,range_interpolation,500,"Hickory Hollow Ter",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
465,"5023 Blue Hole Rd",ANTIOCH,37013.0,TN,36.059851,-86.672296,1,range_interpolation,5023,"Blue Hole Rd",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
466,"345 Swinging Bridge Rd","OLD HICKORY",37138.0,TN,36.272194,-86.663537,1,rooftop,345,"Swinging Bridge Rd",,,"Old Hickory",TN,"Davidson County",37138,US,"City of Nashville"
467,"200 Cedar King Rd",,37160.0,TN,0,0,0,,,,,,,,,,,
468,"111 23rd Ave N",NASHVILLE,37203.0,TN,36.14953,-86.805409,1,rooftop,111,"23rd Ave N",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
469,"525 Royal Pkwy",NASHVILLE,37214.0,TN,36.149529,-86.674285,1,rooftop,525,"Royal Pkwy",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
470,"2050 Pebble Brook Dr",,37073.0,TN,35.774513,-85.016899,0.18,place,,,,,Burke,TN,"Cumberland County",37367,US,"TIGER/Line® dataset from the US Census Bureau"
471,"209 Jackson Meadows Dr",HERMITAGE,37076.0,TN,36.217645,-86.598407,1,rooftop,209,"Jackson Meadows Dr",,,Hermitage,TN,"Davidson County",37076,US,"City of Nashville"
472,"7201 Cockrill Bend Blvd",NASHVILLE,37209.0,TN,36.169948,-86.886661,1,rooftop,7201,"Cockrill Bend Blvd",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
473,"25 White Bridge Pike",NASHVILLE,37205.0,TN,36.128889,-86.854065,1,rooftop,25,"White Bridge Pike",,,Nashville,TN,"Davidson County",37205,US,"City of Nashville"
474,"655 Colice Jeanne Rd",NASHVILLE,37221.0,TN,36.071793,-86.934511,1,range_interpolation,655,"Colice Jeanne Rd",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
475,"411 Gallatin Pike S",MADISON,37115.0,TN,36.258605,-86.713176,1,rooftop,411,"Gallatin Pike S",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
476,"901 Virginia Ave",NASHVILLE,37216.0,TN,36.223122,-86.732663,1,rooftop,901,"Virginia Ave",,,Nashville,TN,"Davidson County",37216,US,"City of Nashville"
477,"403 Harding Industrial Dr",NASHVILLE,37211.0,TN,36.089571,-86.688711,1,range_interpolation,403,"Harding Industrial Dr",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
478,"200 E Webster St",MADISON,37115.0,TN,36.251184,-86.716452,1,rooftop,200,"E Webster St",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
479,"5404 Hearthstone Ln",BRENTWOOD,37027.0,TN,36.043154,-86.765955,1,range_interpolation,5404,"Hearthstone Ln",,,Brentwood,TN,"Davidson County",37027,US,"TIGER/Line® dataset from the US Census Bureau"
480,"619 W Due West Ave",MADISON,37115.0,TN,36.248241,-86.740321,1,rooftop,619,"Due West Ave W",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
481,"1214 Church St",NASHVILLE,37246.0,TN,36.159343,-86.790687,1,rooftop,1214,"Church St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
482,"5388 Hickory Hollow Pkwy",ANTIOCH,37013.0,TN,36.044471,-86.65097,1,range_interpolation,5388,"Hickory Hollow Pkwy",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
483,"419 Gallatin Pike S",MADISON,37115.0,TN,36.259128,-86.713419,1,range_interpolation,419,"Gallatin Pike S",,,Madison,TN,"Davidson County",37115,US,"TIGER/Line® dataset from the US Census Bureau"
484,"500 Gallatin Ave",NASHVILLE,37206.0,TN,36.18152,-86.749629,1,rooftop,500,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
485,"419 Gallatin Pike S",MADISON,37115.0,TN,36.259128,-86.713419,1,range_interpolation,419,"Gallatin Pike S",,,Madison,TN,"Davidson County",37115,US,"TIGER/Line® dataset from the US Census Bureau"
486,"2002 Richard Jones Rd",NASHVILLE,37215.0,TN,36.104502,-86.808844,1,range_interpolation,2002,"Richard Jones Rd",,,Nashville,TN,"Davidson County",37215,US,"TIGER/Line® dataset from the US Census Bureau"
487,"5544 Old Hickory Blvd",HERMITAGE,37076.0,TN,36.181375,-86.605046,1,rooftop,5544,"Old Hickory Blvd",,,Hermitage,TN,"Davidson County",37076,US,"City of Nashville"
488,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
489,"2800 Nolensville Pike",NASHVILLE,37211.0,TN,36.112862,-86.746166,1,range_interpolation,2800,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
490,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
491,Morriswood,NASHVILLE,37204.0,TN,36.095585,-86.768223,1,street_center,,"Morriswood Ct",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
492,"7044 Charlotte Pike",NASHVILLE,37209.0,TN,36.131406,-86.906832,1,rooftop,7044,"Charlotte Pike",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
493,"4105 Lebanon Pike",HERMITAGE,37076.0,TN,36.199245,-86.61942,1,range_interpolation,4105,"Lebanon Pike",,,Hermitage,TN,"Davidson County",37076,US,"TIGER/Line® dataset from the US Census Bureau"
494,"4898 Nolensville Pike",NASHVILLE,37211.0,TN,36.063357,-86.716513,1,rooftop,4898,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"City of Nashville"
495,"1524 Gallatin Ave",NASHVILLE,37206.0,TN,36.194654,-86.743711,1,rooftop,1524,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
496,,NASHVILLE,37201.0,TN,36.165688,-86.778098,1,place,,,,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
497,"401 Union St",NASHVILLE,37219.0,TN,36.165201,-86.779831,1,range_interpolation,401,"Union St",,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
498,"1404a Davidson St",NASHVILLE,37206.0,TN,36.162907,-86.746682,1,range_interpolation,1404,"Davidson St",,,Nashville,TN,"Davidson County",37206,US,"TIGER/Line® dataset from the US Census Bureau"
499,"4636 Lebanon Pike",HERMITAGE,37076.0,TN,36.215298,-86.602285,1,range_interpolation,4636,"Lebanon Pike",,,Hermitage,TN,"Davidson County",37076,US,"TIGER/Line® dataset from the US Census Bureau"
500,"333 Commerce St",NASHVILLE,37201.0,TN,36.162327,-86.777255,1,rooftop,333,"Commerce St",,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
501,"2210 Gallatin Pike N",MADISON,37115.0,TN,36.306608,-86.688161,1,rooftop,2210,"Gallatin Pike N",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
502,"1769 Gallatin Pike N",MADISON,37115.0,TN,36.295743,-86.701597,1,rooftop,1769,"Gallatin Pike N",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
503,"8321 Sawyer Brown Rd",NASHVILLE,37221.0,TN,36.08115,-86.944456,1,range_interpolation,8321,"Sawyer Brown Rd",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
504,"2626 Murfreesboro Pike",NASHVILLE,37217.0,TN,36.073879,-86.638,1,range_interpolation,2626,"Murfreesboro Pike",,,Nashville,TN,"Davidson County",37217,US,"TIGER/Line® dataset from the US Census Bureau"
505,"7075 Old Harding Pike",NASHVILLE,37221.0,TN,36.072895,-86.925304,1,range_interpolation,7075,"Old Harding Pike",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
506,"2944 Kraft Dr",NASHVILLE,37204.0,TN,36.109,-86.758133,1,range_interpolation,2944,"Kraft Dr",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
507,"123 Ewing Dr",NASHVILLE,37207.0,TN,36.22991,-86.760715,1,rooftop,123,"Ewing Dr",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
508,"2500 21st Ave S",NASHVILLE,37212.0,TN,36.1257,-86.804864,1,rooftop,2500,"21st Ave S",,,Nashville,TN,"Davidson County",37212,US,"City of Nashville"
509,"6260 Nolensville Pike",NASHVILLE,37211.0,TN,36.017425,-86.707128,1,range_interpolation,6260,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
510,"3018 Ambrose Ave",NASHVILLE,37207.0,TN,36.206792,-86.747941,1,rooftop,3018,"Ambrose Ave",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
511,"105 US-70",NASHVILLE,37201.0,TN,36.145459,-86.787846,1,rooftop,105,"13th Ave Cir",,,Nashville,TN,"Davidson County",37212,US,"City of Nashville"
512,"8197 Londonberry Rd",NASHVILLE,37221.0,TN,36.061061,-86.977806,1,range_interpolation,8197,"Londonberry Rd",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
513,"1250 Robinson Rd","OLD HICKORY",37138.0,TN,36.258066,-86.659312,1,rooftop,1250,"Robinson Rd",,,"Old Hickory",TN,"Davidson County",37138,US,"City of Nashville"
514,"97 White Bridge Rd",NASHVILLE,37205.0,TN,36.131168,-86.858294,0.8,rooftop,97,"White Bridge Pike",,,Nashville,TN,"Davidson County",37205,US,"City of Nashville"
515,"429 McNally Dr",NASHVILLE,37211.0,TN,36.092486,-86.74347,0.9,range_interpolation,429,"Mc Nally Dr",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
516,"2711 Medical Center Pkwy",,37129.0,TN,0,0,0,,,,,,,,,,,
517,"1635 County Hospital Rd",NASHVILLE,37218.0,TN,36.189773,-86.839072,1,rooftop,1635,"County Hospital Rd",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
518,"601 Oak Forest Ln",ANTIOCH,37013.0,TN,36.077591,-86.655703,1,range_interpolation,601,"Oak Forest Ln",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
519,"1418 Church St",NASHVILLE,37203.0,TN,36.157738,-86.792757,1,rooftop,1418,"Church St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
520,"1023 Gallatin Pike S",MADISON,37115.0,TN,36.249466,-86.718722,1,rooftop,1023,"Gallatin Pike S",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
521,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
522,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
523,"7663 Hwy 70 S",NASHVILLE,37221.0,TN,36.080929,-86.955933,1,range_interpolation,7663,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
524,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
525,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
526,"275 Cumberland Bend",NASHVILLE,37228.0,TN,36.194018,-86.788294,1,rooftop,275,"Cumberland Bnd",,,Nashville,TN,"Davidson County",37228,US,"City of Nashville"
527,"1043 Jefferson St",NASHVILLE,37208.0,TN,36.171774,-86.796741,1,rooftop,1043,"Jefferson St",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
528,"110 Space Park S Dr",NASHVILLE,37211.0,TN,36.097158,-86.706667,1,range_interpolation,110,"Space Park S",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
529,"615 Davidson St",NASHVILLE,37213.0,TN,36.161577,-86.755251,1,range_interpolation,615,"Davidson St",,,Nashville,TN,"Davidson County",37206,US,"TIGER/Line® dataset from the US Census Bureau"
530,"1574c Gallatin Pike N",MADISON,37115.0,TN,36.264651,-86.711354,1,range_interpolation,1574,"Gallatin Pike N",,,Madison,TN,"Davidson County",37115,US,"TIGER/Line® dataset from the US Census Bureau"
531,"119 S Main St",GOODLETTSVILLE,37072.0,TN,36.323777,-86.713307,0.9,range_interpolation,119,"State Hwy 11",,,Goodlettsville,TN,"Davidson County",37072,US,"TIGER/Line® dataset from the US Census Bureau"
532,"44 Vantage Way",NASHVILLE,37228.0,TN,36.192457,-86.794501,1,rooftop,44,"Vantage Way",,,Nashville,TN,"Davidson County",37228,US,"City of Nashville"
533,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
534,"8197 Londonberry Rd",NASHVILLE,37221.0,TN,36.061061,-86.977806,1,range_interpolation,8197,"Londonberry Rd",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
535,"8321 Sawyer Brown Rd",NASHVILLE,37221.0,TN,36.08115,-86.944456,1,range_interpolation,8321,"Sawyer Brown Rd",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
536,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
537,"2421 8th Ave S",NASHVILLE,37212.0,TN,36.126022,-86.777183,1,range_interpolation,2421,"8th Ave S",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
538,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
539,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
540,"130 Jones Blvd",,37086.0,TN,35.672297,-89.141455,0.27,place,,,,,Jones,TN,"Haywood County",38006,US,"TIGER/Line® dataset from the US Census Bureau"
541,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
542,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
543,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
544,"3308 Gallatin Pike",NASHVILLE,37216.0,TN,36.209515,-86.733696,1,rooftop,3308,"Gallatin Pike",,,Nashville,TN,"Davidson County",37216,US,"City of Nashville"
545,"222 Printers Alley",NASHVILLE,37201.0,TN,36.164184,-86.778325,1,range_interpolation,222,"Printers Aly",,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
546,"Knight Dr","WHITES CREEK",37189.0,TN,36.261347,-86.815111,1,street_center,,"Knight Dr",,,"Whites Creek",TN,"Davidson County",37189,US,"TIGER/Line® dataset from the US Census Bureau"
547,"1524 Demonbreun St",NASHVILLE,37203.0,TN,36.152989,-86.790464,0.99,rooftop,"1524 A","Demonbreun St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
548,"7051 Hwy 70 S",NASHVILLE,37221.0,TN,36.075647,-86.917051,1,range_interpolation,7051,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
549,"2300 Patterson St",NASHVILLE,37203.0,TN,36.154094,-86.809406,1,rooftop,2300,"Patterson St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
550,"2088 Gallatin Pike N",MADISON,37115.0,TN,36.302765,-86.692699,1,rooftop,2088,"Gallatin Pike N",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
551,"3187 Bradfield Dr",,,TN,35.701738,-86.107742,0.22,place,,,,,Bradyville,TN,"Cannon County",37026,US,"TIGER/Line® dataset from the US Census Bureau"
552,"Nolensville Pike",NASHVILLE,37211.0,TN,36.090939,-86.734504,1,street_center,,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
553,"44 Vantage Way",NASHVILLE,37228.0,TN,36.192457,-86.794501,1,rooftop,44,"Vantage Way",,,Nashville,TN,"Davidson County",37228,US,"City of Nashville"
554,"1635 County Hospital Rd",NASHVILLE,37218.0,TN,36.189773,-86.839072,1,rooftop,1635,"County Hospital Rd",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
555,"1001 Nunley St",,37073.0,TN,35.873344,-87.491254,0.22,place,,,,,Nunnelly,TN,"Hickman County",37137,US,"TIGER/Line® dataset from the US Census Bureau"
556,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
557,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
558,"902 Waggoner Ct E",NASHVILLE,37214.0,TN,36.146993,-86.640106,1,rooftop,902,"Waggoner Ct E",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
559,"143 New Shackle Island Rd",,37075.0,TN,0,0,0,,,,,,,,,,,
560,"1415 Murfreesboro Pike",NASHVILLE,37217.0,TN,36.114675,-86.69381,1,range_interpolation,1415,"Murfreesboro Pike",,,Nashville,TN,"Davidson County",37217,US,"TIGER/Line® dataset from the US Census Bureau"
561,"1905 Hayes St",NASHVILLE,37203.0,TN,36.152879,-86.798519,1,rooftop,1905,"Hayes St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
562,"600 Dr. M.L.K. Jr Blvd",NASHVILLE,37219.0,TN,36.217148,-86.794524,0.8,rooftop,600,"Troy Ct",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
563,"74 Twin St",,,TN,0,0,0,,,,,,,,,,,
564,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
565,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
566,"8159 Sawyer Brown Rd",NASHVILLE,37221.0,TN,36.081085,-86.947294,1,rooftop,8159,"Sawyer Brown Rd",,,Nashville,TN,"Davidson County",37221,US,"City of Nashville"
567,"500 Gallatin Ave",NASHVILLE,37206.0,TN,36.18152,-86.749629,1,rooftop,500,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
568,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
569,"7360 Cockrill Bend Blvd",NASHVILLE,37209.0,TN,36.178091,-86.895256,1,rooftop,7360,"Cockrill Bend Blvd",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
570,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
571,"Mill Creek Meadow Dr",NASHVILLE,37214.0,TN,36.158603,-86.774838,0.7,street_center,,"Molloy St",,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
572,"201 E Webster St",MADISON,37115.0,TN,36.25159,-86.716383,1,rooftop,201,"E Webster St",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
573,"850 Antioch Pike",ANTIOCH,37013.0,TN,36.071148,-86.684045,0.6,street_center,,"Antioch Pike",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
574,"454 Moss Trail",GOODLETTSVILLE,37072.0,TN,36.310735,-86.7066,1,rooftop,454,"Moss Trl",,,Goodlettsville,TN,"Davidson County",37072,US,"City of Nashville"
575,"102 5th Ave S",NASHVILLE,37203.0,TN,36.160465,-86.778263,1,range_interpolation,102,"5th Ave S",,,Nashville,TN,"Davidson County",37203,US,"TIGER/Line® dataset from the US Census Bureau"
576,"5100 Regent Dr",NASHVILLE,37220.0,TN,36.066004,-86.768098,1,range_interpolation,5100,"Regent Dr",,,Nashville,TN,"Davidson County",37220,US,"TIGER/Line® dataset from the US Census Bureau"
577,,MADISON,37115.0,TN,36.259503,-86.706296,1,place,,,,,Madison,TN,"Davidson County",37115,US,"TIGER/Line® dataset from the US Census Bureau"
578,"2163 Franklin Pike",NASHVILLE,37204.0,TN,36.130934,-86.778887,1,range_interpolation,2163,"Franklin Pike",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
579,"2010 Rosa L Parks Blvd",NASHVILLE,37228.0,TN,36.18783,-86.796727,1,rooftop,2010,"Rosa L Parks Blvd",,,Nashville,TN,"Davidson County",37228,US,"City of Nashville"
580,"Nolensville Pike",NASHVILLE,37211.0,TN,36.090939,-86.734504,1,street_center,,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
581,"2511 Gallatin Pike",NASHVILLE,37206.0,TN,36.196142,-86.742709,1,range_interpolation,2511,"Gallatin Pike",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
582,"15541 Old Hickory Blvd",NASHVILLE,37211.0,TN,36.039635,-86.740138,1,range_interpolation,15541,"Old Hickory Blvd",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
583,"1120 4th Ave N",NASHVILLE,37208.0,TN,36.175787,-86.786544,1,rooftop,1120,"4th Ave N",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
584,"2001 Lakeshore Dr","OLD HICKORY",37138.0,TN,36.250259,-86.63951,1,range_interpolation,2001,"Lakeshore Dr",,,"Old Hickory",TN,"Davidson County",37138,US,"TIGER/Line® dataset from the US Census Bureau"
585,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
586,"630 Murfreesboro Pike",NASHVILLE,37210.0,TN,36.141268,-86.738663,1,rooftop,630,"Murfreesboro Pike",,,Nashville,TN,"Davidson County",37210,US,"City of Nashville"
587,"301 6th Ave N",NASHVILLE,37219.0,TN,36.163536,-86.782182,1,range_interpolation,301,"6th Ave N",,,Nashville,TN,"Davidson County",37219,US,"TIGER/Line® dataset from the US Census Bureau"
588,"1903 Dr DB Todd Jr Blvd",NASHVILLE,37208.0,TN,36.181528,-86.81192,1,rooftop,1903,"Dr D B Todd Jr Blvd",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
589,"4009 Hillsboro Pike",NASHVILLE,37215.0,TN,36.103926,-86.815571,1,range_interpolation,4009,"Hillsboro Pike",,,Nashville,TN,"Davidson County",37215,US,"TIGER/Line® dataset from the US Census Bureau"
590,"616 Marriott Dr",NASHVILLE,37214.0,TN,36.144529,-86.690441,1,rooftop,616,"Marriott Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
591,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
592,"301 28th Ave N",NASHVILLE,37203.0,TN,36.151916,-86.818736,1,range_interpolation,301,"28th Ave N",,,Nashville,TN,"Davidson County",37209,US,"TIGER/Line® dataset from the US Census Bureau"
593,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
594,"4700 Charlotte Ave",NASHVILLE,37209.0,TN,36.152322,-86.843897,1,rooftop,4700,"Charlotte Ave",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
595,,,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
596,"101 Foothill Ct",NASHVILLE,37217.0,TN,36.130799,-86.719549,1,range_interpolation,101,"Foothill Ct",,,Nashville,TN,"Davidson County",37217,US,"TIGER/Line® dataset from the US Census Bureau"
597,"2088 Gallatin Pike N",MADISON,37115.0,TN,36.302765,-86.692699,1,rooftop,2088,"Gallatin Pike N",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
598,"2934 Sidco Dr",NASHVILLE,37204.0,TN,36.110034,-86.755223,1,range_interpolation,2934,"Sidco Dr",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
599,"105 Leake Ave",NASHVILLE,37205.0,TN,36.104868,-86.866997,1,range_interpolation,105,"Leake Ave",,,Nashville,TN,"Davidson County",37205,US,"TIGER/Line® dataset from the US Census Bureau"
600,"1431 Dickerson Pike",NASHVILLE,37207.0,TN,36.199893,-86.769747,1,rooftop,1431,"Dickerson Pike",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
601,"1 Public Sq",NASHVILLE,37201.0,TN,36.166747,-86.778286,1,rooftop,1,"Public Sq",,,Nashville,TN,"Davidson County",37201,US,"City of Nashville"
